2026-04-18 01:51:51 | INFO | 🔴 EXIT       | DABUR           | ₹    442.85 | Below 40W EMA
2026-04-18 01:51:53 | INFO | 🟢 HOLD_ADD   | MUTHOOTFIN      | ₹   3571.30 | Above all weekly EMAs
2026-04-18 01:51:55 | WARNING | ICICIAMC: Insufficient data for analysis
2026-04-18 01:51:57 | INFO | 🟢 HOLD_ADD   | TVSMOTOR        | ₹   3735.80 | Above all weekly EMAs
2026-04-18 01:51:59 | INFO | 🔴 EXIT       | RPOWER          | ₹     28.68 | Below 40W EMA
2026-04-18 01:52:01 | INFO | 🔴 EXIT       | SWIGGY          | ₹    277.45 | Below 40W EMA
2026-04-18 01:52:03 | INFO | 🟢 HOLD_ADD   | FORCEMOT        | ₹  22378.00 | Above all weekly EMAs
2026-04-18 01:52:06 | INFO | 🔴 EXIT       | GAIL            | ₹    157.82 | Below 40W EMA
2026-04-18 01:52:08 | WARNING | LENSKART: Insufficient data for analysis
2026-04-18 01:52:10 | INFO | 🔴 EXIT       | KFINTECH        | ₹    976.00 | Below 40W EMA
2026-04-18 01:52:12 | INFO | ✅ BULLISH    | ZENTEC          | ₹   1616.50 | Resistance breakout with EMAs converging
2026-04-18 01:52:14 | INFO | 🔴 EXIT       | LODHA           | ₹    872.55 | Below 40W EMA
2026-04-18 01:52:16 | INFO | 🟡 WAIT       | PAYTM           | ₹   1161.65 | EMAs converging, no breakout yet
2026-04-18 01:52:18 | INFO | 🟢 HOLD_ADD   | MRPL            | ₹    183.13 | Above all weekly EMAs
2026-04-18 01:52:20 | INFO | 🟢 HOLD_ADD   | INDIANB         | ₹    939.45 | Above all weekly EMAs
2026-04-18 01:52:22 | INFO | 🔴 EXIT       | FSL             | ₹    239.28 | Below 40W EMA
2026-04-18 01:52:25 | INFO | 🟢 HOLD_ADD   | JINDALSAW       | ₹    236.28 | Above all weekly EMAs
2026-04-18 01:52:27 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5735.50 | EMAs converging, no breakout yet
2026-04-18 01:52:29 | INFO | ✅ BULLISH    | JSWENERGY       | ₹    538.05 | Resistance breakout with EMAs converging
2026-04-18 01:52:31 | INFO | 🟡 WAIT       | ULTRACEMCO      | ₹  11886.00 | EMAs converging, no breakout yet
2026-04-18 01:52:33 | INFO | 🟢 HOLD_ADD   | PNBHOUSING      | ₹    923.70 | Above all weekly EMAs
2026-04-18 01:52:35 | INFO | 🟡 WAIT       | SOLARINDS       | ₹  15089.00 | EMAs converging, no breakout yet
2026-04-18 01:52:38 | INFO | 🟢 HOLD_ADD   | CANBK           | ₹    142.37 | Above all weekly EMAs
2026-04-18 01:52:40 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1860.50 | Above all weekly EMAs
2026-04-18 01:52:42 | INFO | 🔴 EXIT       | CRISIL          | ₹   4335.40 | Below 40W EMA
2026-04-18 01:52:44 | INFO | 🟡 WAIT       | BANKBARODA      | ₹    280.44 | EMAs converging, no breakout yet
2026-04-18 01:52:46 | INFO | 🔴 EXIT       | GODREJCP        | ₹   1109.40 | Below 40W EMA
2026-04-18 01:52:48 | INFO | 🔴 EXIT       | ICICIPRULI      | ₹    562.00 | Below 40W EMA
2026-04-18 01:52:51 | INFO | 🟡 WAIT       | CHOLAFIN        | ₹   1579.00 | EMAs converging, no breakout yet
2026-04-18 01:52:53 | INFO | 🟡 WAIT       | VOLTAS          | ₹   1440.10 | EMAs converging, no breakout yet
2026-04-18 01:52:55 | INFO | 🟢 HOLD_ADD   | HINDZINC        | ₹    592.30 | Above all weekly EMAs
2026-04-18 01:52:57 | INFO | 🟢 HOLD_ADD   | SONACOMS        | ₹    593.85 | Above all weekly EMAs
2026-04-18 01:52:59 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    659.30 | Below 40W EMA
2026-04-18 01:53:01 | INFO | 🟡 WAIT       | IOC             | ₹    145.88 | EMAs converging, no breakout yet
2026-04-18 01:53:04 | INFO | 🔴 EXIT       | BALKRISIND      | ₹   2329.80 | Below 40W EMA
2026-04-18 01:53:06 | INFO | 🟢 HOLD_ADD   | CAMS            | ₹    750.15 | Above all weekly EMAs
2026-04-18 01:53:08 | INFO | 🔴 EXIT       | TATAELXSI       | ₹   4592.50 | Below 40W EMA
2026-04-18 01:53:10 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    470.10 | Above all weekly EMAs
2026-04-18 01:53:12 | INFO | 🟢 HOLD_ADD   | UNIONBANK       | ₹    188.91 | Above all weekly EMAs
2026-04-18 01:53:14 | INFO | 🔴 EXIT       | TARIL           | ₹    322.30 | Below 40W EMA
