2026-04-11 01:35:32 | INFO | 🔴 EXIT       | MRF             | ₹ 136705.00 | Below 40W EMA
2026-04-11 01:35:34 | INFO | 🔴 EXIT       | BAJAJFINSV      | ₹   1809.20 | Below 40W EMA
2026-04-11 01:35:36 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    763.25 | Above all weekly EMAs
2026-04-11 01:35:39 | INFO | 🟢 HOLD_ADD   | CHENNPETRO      | ₹    973.85 | Above all weekly EMAs
2026-04-11 01:35:41 | INFO | 🟡 WAIT       | PHOENIXLTD      | ₹   1763.50 | EMAs converging, no breakout yet
2026-04-11 01:35:43 | INFO | 🟢 HOLD_ADD   | MFSL            | ₹   1654.80 | Above all weekly EMAs
2026-04-11 01:35:45 | INFO | 🟡 WAIT       | TATACONSUM      | ₹   1093.70 | EMAs converging, no breakout yet
2026-04-11 01:35:47 | INFO | 🟡 WAIT       | NESTLEIND       | ₹   1249.30 | EMAs converging, no breakout yet
2026-04-11 01:35:49 | INFO | 🟡 WAIT       | GRASIM          | ₹   2742.60 | EMAs converging, no breakout yet
2026-04-11 01:35:51 | INFO | 🔴 EXIT       | PAGEIND         | ₹  36055.00 | Below 40W EMA
2026-04-11 01:35:54 | INFO | 🔴 EXIT       | BDL             | ₹   1345.90 | Below 40W EMA
2026-04-11 01:35:56 | INFO | 🟢 HOLD_ADD   | RBLBANK         | ₹    322.15 | Above all weekly EMAs
2026-04-11 01:35:58 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    341.90 | Above all weekly EMAs
2026-04-11 01:36:00 | INFO | 🟢 HOLD_ADD   | LTF             | ₹    278.43 | Above all weekly EMAs
2026-04-11 01:36:02 | INFO | 🟢 HOLD_ADD   | JPPOWER         | ₹     17.20 | Above all weekly EMAs
2026-04-11 01:36:04 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    445.20 | Below 40W EMA
2026-04-11 01:36:06 | INFO | 🔴 EXIT       | YESBANK         | ₹     19.08 | Below 40W EMA
2026-04-11 01:36:09 | WARNING | BELRISE: Insufficient data for analysis
2026-04-11 01:36:11 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    445.00 | Below 40W EMA
2026-04-11 01:36:13 | WARNING | EMMVEE: Insufficient data for analysis
2026-04-11 01:36:15 | INFO | 🟡 WAIT       | CGPOWER         | ₹    731.10 | EMAs converging, no breakout yet
2026-04-11 01:36:17 | INFO | 🔴 EXIT       | RPOWER          | ₹     25.21 | Below 40W EMA
2026-04-11 01:36:19 | INFO | 🔴 EXIT       | ABREL           | ₹   1361.10 | Below 40W EMA
2026-04-11 01:36:22 | INFO | 🟡 WAIT       | SBILIFE         | ₹   1923.20 | EMAs converging, no breakout yet
2026-04-11 01:36:24 | INFO | 🟢 HOLD_ADD   | TORNTPHARM      | ₹   4155.20 | Above all weekly EMAs
2026-04-11 01:36:26 | INFO | 🟢 HOLD_ADD   | GLENMARK        | ₹   2163.20 | Above all weekly EMAs
2026-04-11 01:36:28 | INFO | 🟡 WAIT       | SOLARINDS       | ₹  14073.00 | EMAs converging, no breakout yet
2026-04-11 01:36:30 | INFO | 🟠 CAUTIOUS   | BANKINDIA       | ₹    147.93 | Below 20W EMA
2026-04-11 01:36:32 | INFO | 🔴 EXIT       | IGL             | ₹    161.33 | Below 40W EMA
2026-04-11 01:36:35 | INFO | 🔴 EXIT       | UPL             | ₹    644.85 | Below 40W EMA
2026-04-11 01:36:37 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   4459.00 | Above all weekly EMAs
2026-04-11 01:36:39 | INFO | 🟡 WAIT       | NHPC            | ₹     77.09 | EMAs converging, no breakout yet
2026-04-11 01:36:41 | INFO | 🔴 EXIT       | ACE             | ₹    909.35 | Below 40W EMA
2026-04-11 01:36:43 | INFO | 🟢 HOLD_ADD   | PREMIERENE      | ₹    975.20 | Above all weekly EMAs
2026-04-11 01:36:45 | INFO | 🔴 EXIT       | EXIDEIND        | ₹    324.50 | Below 40W EMA
2026-04-11 01:36:48 | INFO | 🟢 HOLD_ADD   | JBMA            | ₹    611.45 | Above all weekly EMAs
2026-04-11 01:36:50 | INFO | 🔴 EXIT       | GODREJCP        | ₹   1078.10 | Below 40W EMA
2026-04-11 01:36:52 | INFO | 🔴 EXIT       | IDFCFIRSTB      | ₹     66.21 | Below 40W EMA
2026-04-11 01:36:54 | INFO | 🟢 HOLD_ADD   | GALLANTT        | ₹    658.50 | Above all weekly EMAs
2026-04-11 01:36:56 | INFO | 🔴 EXIT       | COROMANDEL      | ₹   2154.80 | Below 40W EMA
2026-04-11 01:36:58 | INFO | 🟢 HOLD_ADD   | NAVINFLUOR      | ₹   6181.00 | Above all weekly EMAs
2026-04-11 01:37:00 | INFO | 🟡 WAIT       | INDUSINDBK      | ₹    830.90 | EMAs converging, no breakout yet
2026-04-11 01:37:03 | INFO | 🔴 EXIT       | IDBI            | ₹     74.01 | Below 40W EMA
2026-04-11 01:37:05 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    603.10 | Above all weekly EMAs
2026-04-11 01:37:07 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1349.40 | Above all weekly EMAs
2026-04-11 01:37:09 | INFO | 🟢 HOLD_ADD   | MAHABANK        | ₹     70.59 | Above all weekly EMAs
2026-04-11 01:37:11 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    641.50 | Below 40W EMA
2026-04-11 01:37:13 | INFO | 🟡 WAIT       | RADICO          | ₹   2792.70 | EMAs converging, no breakout yet
2026-04-11 01:37:16 | INFO | 🔴 EXIT       | IREDA           | ₹    123.72 | Below 40W EMA
2026-04-11 01:37:18 | INFO | 🔴 EXIT       | DEVYANI         | ₹    108.55 | Below 40W EMA
2026-04-11 01:37:20 | INFO | 🟡 WAIT       | GICRE           | ₹    397.60 | EMAs converging, no breakout yet
