2026-04-25 01:53:10 | INFO | 🔴 EXIT       | TARIL           | ₹    323.45 | Below 40W EMA
2026-04-25 01:53:13 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    669.85 | Above all weekly EMAs
2026-04-25 01:53:15 | INFO | 🟠 CAUTIOUS   | ASHOKLEY        | ₹    169.90 | Below 20W EMA
2026-04-25 01:53:17 | INFO | 🔴 EXIT       | RVNL            | ₹    303.44 | Below 40W EMA
2026-04-25 01:53:19 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1238.60 | Below 40W EMA
2026-04-25 01:53:21 | INFO | 🟡 WAIT       | ATUL            | ₹   6680.50 | EMAs converging, no breakout yet
2026-04-25 01:53:23 | INFO | 🟢 HOLD_ADD   | DELHIVERY       | ₹    449.70 | Above all weekly EMAs
2026-04-25 01:53:26 | INFO | 🔴 EXIT       | PPLPHARMA       | ₹    165.47 | Below 40W EMA
2026-04-25 01:53:28 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    293.00 | Above all weekly EMAs
2026-04-25 01:53:30 | INFO | 🟡 WAIT       | BANKBARODA      | ₹    274.13 | EMAs converging, no breakout yet
2026-04-25 01:53:32 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    373.50 | Below 40W EMA
2026-04-25 01:53:34 | INFO | 🔴 EXIT       | NAUKRI          | ₹    984.95 | Below 40W EMA
2026-04-25 01:53:36 | INFO | 🟢 HOLD_ADD   | HINDCOPPER      | ₹    541.50 | Above all weekly EMAs
2026-04-25 01:53:38 | INFO | 🔴 EXIT       | TEJASNET        | ₹    411.00 | Below 40W EMA
2026-04-25 01:53:41 | INFO | 🟠 CAUTIOUS   | BANKINDIA       | ₹    147.44 | Below 20W EMA
2026-04-25 01:53:43 | WARNING | TATACAP: Insufficient data for analysis
2026-04-25 01:53:45 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6361.50 | EMAs converging, no breakout yet
2026-04-25 01:53:47 | INFO | 🟢 HOLD_ADD   | MAHABANK        | ₹     77.90 | Above all weekly EMAs
2026-04-25 01:53:49 | WARNING | TMPV: Insufficient data for analysis
2026-04-25 01:53:51 | INFO | 🔴 EXIT       | UTIAMC          | ₹    925.25 | Below 40W EMA
2026-04-25 01:53:53 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    783.30 | Above all weekly EMAs
2026-04-25 01:53:55 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1783.60 | Below 40W EMA
2026-04-25 01:53:58 | INFO | 🟢 HOLD_ADD   | GLENMARK        | ₹   2299.50 | Above all weekly EMAs
2026-04-25 01:54:00 | WARNING | TMCV: Insufficient data for analysis
2026-04-25 01:54:02 | INFO | 🟢 HOLD_ADD   | MUTHOOTFIN      | ₹   3493.50 | Above all weekly EMAs
2026-04-25 01:54:04 | INFO | 🟡 WAIT       | CHOLAFIN        | ₹   1568.20 | EMAs converging, no breakout yet
2026-04-25 01:54:06 | INFO | 🟢 HOLD_ADD   | ABSLAMC         | ₹   1067.65 | Above all weekly EMAs
2026-04-25 01:54:08 | INFO | 🟢 HOLD_ADD   | POLICYBZR       | ₹   1696.70 | Above all weekly EMAs
2026-04-25 01:54:10 | INFO | 🟢 HOLD_ADD   | LAURUSLABS      | ₹   1113.45 | Above all weekly EMAs
2026-04-25 01:54:12 | INFO | 🟡 WAIT       | BANDHANBNK      | ₹    174.67 | EMAs converging, no breakout yet
2026-04-25 01:54:15 | INFO | 🔴 EXIT       | CDSL            | ₹   1312.80 | Below 40W EMA
2026-04-25 01:54:17 | INFO | 🟢 HOLD_ADD   | BAJAJ-AUTO      | ₹   9576.00 | Above all weekly EMAs
2026-04-25 01:54:19 | INFO | 🔴 EXIT       | CYIENT          | ₹    873.05 | Below 40W EMA
2026-04-25 01:54:21 | INFO | 🟡 WAIT       | RECLTD          | ₹    374.00 | EMAs converging, no breakout yet
2026-04-25 01:54:23 | INFO | 🟢 HOLD_ADD   | NAM-INDIA       | ₹    979.35 | Above all weekly EMAs
2026-04-25 01:54:25 | INFO | 🟢 HOLD_ADD   | NLCINDIA        | ₹    299.10 | Above all weekly EMAs
2026-04-25 01:54:27 | INFO | 🔴 EXIT       | TATACOMM        | ₹   1520.60 | Below 40W EMA
2026-04-25 01:54:30 | INFO | 🔴 EXIT       | TATAELXSI       | ₹   4193.00 | Below 40W EMA
2026-04-25 01:54:32 | INFO | 🟢 HOLD_ADD   | TIINDIA         | ₹   2968.70 | Above all weekly EMAs
2026-04-25 01:54:34 | WARNING | ENRIN: Insufficient data for analysis
2026-04-25 01:54:36 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2175.80 | Below 40W EMA
2026-04-25 01:54:38 | INFO | 🟢 HOLD_ADD   | VTL             | ₹    590.05 | Above all weekly EMAs
2026-04-25 01:54:40 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    451.20 | Below 40W EMA
2026-04-25 01:54:42 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    588.20 | Below 40W EMA
2026-04-25 01:54:44 | INFO | 🔴 EXIT       | PIIND           | ₹   3081.20 | Below 40W EMA
2026-04-25 01:54:47 | INFO | 🔴 EXIT       | BAJAJFINSV      | ₹   1770.70 | Below 40W EMA
2026-04-25 01:54:49 | INFO | 🟢 HOLD_ADD   | ATGL            | ₹    626.85 | Above all weekly EMAs
2026-04-25 01:54:51 | INFO | 🟢 HOLD_ADD   | COLPAL          | ₹   2171.30 | Above all weekly EMAs
2026-04-25 01:54:53 | INFO | 🔴 EXIT       | KPITTECH        | ₹    709.60 | Below 40W EMA
2026-04-25 01:54:55 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    340.60 | Above all weekly EMAs
2026-04-25 01:54:57 | INFO | 🟢 HOLD_ADD   | GAIL            | ₹    165.61 | Above all weekly EMAs
2026-04-25 01:55:00 | INFO | 🟢 HOLD_ADD   | SCI             | ₹    288.29 | Above all weekly EMAs
2026-04-25 01:55:02 | INFO | 🔴 EXIT       | IRFC            | ₹    103.92 | Below 40W EMA
2026-04-25 01:55:04 | WARNING | EMMVEE: Insufficient data for analysis
2026-04-25 01:55:06 | INFO | 🟡 WAIT       | AMBER           | ₹   7753.50 | EMAs converging, no breakout yet
2026-04-25 01:55:08 | INFO | 🔴 EXIT       | IREDA           | ₹    135.89 | Below 40W EMA
2026-04-25 01:55:10 | INFO | 🟡 WAIT       | SAMMAANCAP      | ₹    143.53 | EMAs converging, no breakout yet
2026-04-25 01:55:12 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    491.95 | Below 40W EMA
2026-04-25 01:55:14 | INFO | 🟢 HOLD_ADD   | JINDALSTEL      | ₹   1256.00 | Above all weekly EMAs
2026-04-25 01:55:17 | INFO | 🟡 WAIT       | TATACONSUM      | ₹   1174.00 | EMAs converging, no breakout yet
2026-04-25 01:55:19 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1769.40 | Below 40W EMA
2026-04-25 01:55:21 | INFO | 🟡 WAIT       | PAYTM           | ₹   1147.35 | EMAs converging, no breakout yet
2026-04-25 01:55:23 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    635.35 | Below 40W EMA
2026-04-25 01:55:25 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    125.70 | Above all weekly EMAs
2026-04-25 01:55:27 | INFO | 🟡 WAIT       | FORTIS          | ₹    929.30 | EMAs converging, no breakout yet
2026-04-25 01:55:29 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1413.80 | Above all weekly EMAs
2026-04-25 01:55:31 | INFO | 🔴 EXIT       | LODHA           | ₹    840.70 | Below 40W EMA
2026-04-25 01:55:34 | INFO | 🟢 HOLD_ADD   | WELCORP         | ₹   1207.45 | Above all weekly EMAs
2026-04-25 01:55:36 | INFO | 🔴 EXIT       | PVRINOX         | ₹   1004.15 | Below 40W EMA
2026-04-25 01:55:38 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1391.90 | EMAs converging, no breakout yet
2026-04-25 01:55:40 | INFO | 🔴 EXIT       | YESBANK         | ₹     19.84 | Below 40W EMA
2026-04-25 01:55:42 | INFO | 🔴 EXIT       | VMM             | ₹    123.34 | Below 40W EMA
2026-04-25 01:55:44 | INFO | 🔴 EXIT       | ZEEL            | ₹     88.10 | Below 40W EMA
2026-04-25 01:55:46 | INFO | 🟡 WAIT       | PNB             | ₹    113.09 | EMAs converging, no breakout yet
2026-04-25 01:55:48 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1856.00 | Above all weekly EMAs
2026-04-25 01:55:51 | INFO | ✅ BULLISH    | ZENTEC          | ₹   1674.40 | Resistance breakout with EMAs converging
2026-04-25 01:55:53 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   4816.10 | Above all weekly EMAs
2026-04-25 01:55:55 | INFO | 🟡 WAIT       | MFSL            | ₹   1587.30 | EMAs converging, no breakout yet
2026-04-25 01:55:57 | INFO | 🟡 WAIT       | INDUSINDBK      | ₹    847.95 | EMAs converging, no breakout yet
2026-04-25 01:55:59 | INFO | 🔴 EXIT       | PATANJALI       | ₹    462.95 | Below 40W EMA
2026-04-25 01:56:01 | INFO | 🟢 HOLD_ADD   | SIEMENS         | ₹   3808.90 | Above all weekly EMAs
2026-04-25 01:56:03 | INFO | 🟢 HOLD_ADD   | ENGINERSIN      | ₹    242.89 | Above all weekly EMAs
2026-04-25 01:56:06 | INFO | 🔴 EXIT       | INOXWIND        | ₹    100.13 | Below 40W EMA
2026-04-25 01:56:08 | INFO | 🟡 WAIT       | HBLENGINE       | ₹    798.35 | EMAs converging, no breakout yet
2026-04-25 01:56:10 | INFO | 🔴 EXIT       | DLF             | ₹    587.05 | Below 40W EMA
2026-04-25 01:56:12 | INFO | 🔴 EXIT       | PGEL            | ₹    547.15 | Below 40W EMA
2026-04-25 01:56:14 | INFO | 🟡 WAIT       | IOC             | ₹    143.47 | EMAs converging, no breakout yet
2026-04-25 01:56:16 | INFO | 🔴 EXIT       | IIFL            | ₹    419.35 | Below 40W EMA
2026-04-25 01:56:18 | INFO | 🟣 FADING     | TORNTPHARM      | ₹   4117.20 | Below 10W EMA - momentum fading
2026-04-25 01:56:21 | INFO | 🟣 FADING     | APLAPOLLO       | ₹   2004.50 | Below 10W EMA - momentum fading
2026-04-25 01:56:23 | INFO | 🔴 EXIT       | IDFCFIRSTB      | ₹     67.23 | Below 40W EMA
2026-04-25 01:56:25 | INFO | 🟡 WAIT       | NHPC            | ₹     80.66 | EMAs converging, no breakout yet
2026-04-25 01:56:27 | INFO | 🔴 EXIT       | UPL             | ₹    631.40 | Below 40W EMA
2026-04-25 01:56:29 | WARNING | MEESHO: Insufficient data for analysis
2026-04-25 01:56:31 | INFO | 🟡 WAIT       | GMRAIRPORT      | ₹     94.49 | EMAs converging, no breakout yet
2026-04-25 01:56:33 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   2107.20 | Below 40W EMA
2026-04-25 01:56:35 | INFO | 🔴 EXIT       | KALYANKJIL      | ₹    405.30 | Below 40W EMA
2026-04-25 01:56:37 | WARNING | LENSKART: Insufficient data for analysis
