2026-03-07 01:25:00 | INFO | 🟢 HOLD_ADD   | NLCINDIA        | ₹    255.25 | Above all weekly EMAs
2026-03-07 01:25:02 | INFO | 🔴 EXIT       | TATACOMM        | ₹   1456.70 | Below 40W EMA
2026-03-07 01:25:05 | INFO | 🔴 EXIT       | PRESTIGE        | ₹   1335.50 | Below 40W EMA
2026-03-07 01:25:07 | INFO | 🔴 EXIT       | LICHSGFIN       | ₹    511.80 | Below 40W EMA
2026-03-07 01:25:09 | INFO | 🔴 EXIT       | HUDCO           | ₹    176.29 | Below 40W EMA
2026-03-07 01:25:11 | INFO | 🔴 EXIT       | COLPAL          | ₹   2204.60 | Below 40W EMA
2026-03-07 01:25:13 | INFO | 🟡 WAIT       | UNOMINDA        | ₹   1121.30 | EMAs converging, no breakout yet
2026-03-07 01:25:15 | INFO | 🟠 CAUTIOUS   | NAM-INDIA       | ₹    860.25 | Below 20W EMA
2026-03-07 01:25:18 | INFO | 🔴 EXIT       | CONCOR          | ₹    479.75 | Below 40W EMA
2026-03-07 01:25:20 | INFO | 🟡 WAIT       | PHOENIXLTD      | ₹   1603.90 | EMAs converging, no breakout yet
2026-03-07 01:25:22 | INFO | 🔴 EXIT       | PATANJALI       | ₹    500.55 | Below 40W EMA
2026-03-07 01:25:24 | INFO | 🔴 EXIT       | APOLLOTYRE      | ₹    439.75 | Broke support with EMAs converging
2026-03-07 01:25:26 | INFO | 🟢 HOLD_ADD   | TORNTPOWER      | ₹   1481.30 | Above all weekly EMAs
2026-03-07 01:25:28 | INFO | 🔴 EXIT       | ACC             | ₹   1501.20 | Below 40W EMA
2026-03-07 01:25:31 | INFO | 🟡 WAIT       | LINDEINDIA      | ₹   6784.50 | EMAs converging, no breakout yet
2026-03-07 01:25:33 | INFO | 🟡 WAIT       | DALBHARAT       | ₹   1899.80 | EMAs converging, no breakout yet
2026-03-07 01:25:35 | INFO | 🔴 EXIT       | PIIND           | ₹   3079.60 | Below 40W EMA
2026-03-07 01:25:37 | INFO | 🔴 EXIT       | LTTS            | ₹   3187.40 | Below 40W EMA
2026-03-07 01:25:39 | INFO | 🔴 EXIT       | TATATECH        | ₹    576.50 | Below 40W EMA
2026-03-07 01:25:41 | INFO | 🔴 EXIT       | LLOYDSME        | ₹   1184.00 | Below 40W EMA
2026-03-07 01:25:43 | INFO | 🔴 EXIT       | IGL             | ₹    157.27 | Below 40W EMA
2026-03-07 01:25:46 | INFO | 🔴 EXIT       | THERMAX         | ₹   3161.90 | Below 40W EMA
2026-03-07 01:25:48 | INFO | 🟡 WAIT       | SONACOMS        | ₹    514.95 | EMAs converging, no breakout yet
2026-03-07 01:25:50 | INFO | 🟡 WAIT       | 360ONE          | ₹   1064.20 | EMAs converging, no breakout yet
2026-03-07 01:25:52 | INFO | 🔴 EXIT       | MOTILALOFS      | ₹    715.95 | Below 40W EMA
2026-03-07 01:25:54 | INFO | 🟢 HOLD_ADD   | SUNDARMFIN      | ₹   5356.00 | Above all weekly EMAs
