2026-03-14 01:25:53 | INFO | 🟢 HOLD_ADD   | THERMAX         | ₹   3221.00 | Above all weekly EMAs
2026-03-14 01:25:55 | INFO | 🔴 EXIT       | HDFCAMC         | ₹   2381.00 | Broke support with EMAs converging
2026-03-14 01:25:57 | INFO | 🟠 CAUTIOUS   | ASHOKLEY        | ₹    170.65 | Below 20W EMA
2026-03-14 01:26:00 | INFO | 🔴 EXIT       | UNOMINDA        | ₹   1013.20 | Broke support with EMAs converging
2026-03-14 01:26:02 | INFO | 🔴 EXIT       | PREMIERENE      | ₹    781.85 | Below 40W EMA
2026-03-14 01:26:04 | INFO | 🟡 WAIT       | MRF             | ₹ 134920.00 | EMAs converging, no breakout yet
2026-03-14 01:26:06 | INFO | 🟡 WAIT       | 360ONE          | ₹   1027.40 | EMAs converging, no breakout yet
2026-03-14 01:26:08 | INFO | 🔴 EXIT       | IRCTC           | ₹    527.60 | Below 40W EMA
2026-03-14 01:26:10 | INFO | 🔴 EXIT       | TATATECH        | ₹    540.35 | Below 40W EMA
2026-03-14 01:26:13 | INFO | 🔴 EXIT       | DEEPAKNTR       | ₹   1448.40 | Below 40W EMA
2026-03-14 01:26:15 | INFO | 🟢 HOLD_ADD   | NTPCGREEN       | ₹     98.15 | Above all weekly EMAs
2026-03-14 01:26:17 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1675.10 | Above all weekly EMAs
2026-03-14 01:26:19 | INFO | 🔴 EXIT       | COLPAL          | ₹   1957.20 | Below 40W EMA
2026-03-14 01:26:21 | INFO | 🟣 FADING     | SAIL            | ₹    149.89 | Below 10W EMA - momentum fading
2026-03-14 01:26:23 | INFO | 🔴 EXIT       | TATAINVEST      | ₹    621.70 | Below 40W EMA
2026-03-14 01:26:26 | INFO | 🟡 WAIT       | BALKRISIND      | ₹   2225.70 | EMAs converging, no breakout yet
2026-03-14 01:26:28 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    458.15 | Below 40W EMA
2026-03-14 01:26:30 | INFO | 🟣 FADING     | MAHABANK        | ₹     64.09 | Below 10W EMA - momentum fading
2026-03-14 01:26:32 | INFO | 🔴 EXIT       | NYKAA           | ₹    238.15 | Below 40W EMA
2026-03-14 01:26:34 | INFO | 🟡 WAIT       | PETRONET        | ₹    286.30 | EMAs converging, no breakout yet
2026-03-14 01:26:37 | INFO | 🔴 EXIT       | WAAREEENER      | ₹   2726.60 | Below 40W EMA
2026-03-14 01:26:39 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1577.40 | Below 40W EMA
2026-03-14 01:26:41 | INFO | 🟣 FADING     | MARICO          | ₹    752.40 | Below 10W EMA - momentum fading
2026-03-14 01:26:43 | INFO | 🟡 WAIT       | BLUESTARCO      | ₹   1833.20 | EMAs converging, no breakout yet
2026-03-14 01:26:45 | INFO | 🔴 EXIT       | KPITTECH        | ₹    660.15 | Below 40W EMA
2026-03-14 01:26:48 | INFO | 🔴 EXIT       | APOLLOTYRE      | ₹    400.30 | Broke support with EMAs converging
2026-03-14 01:26:50 | INFO | 🟢 HOLD_ADD   | NATIONALUM      | ₹    387.35 | Above all weekly EMAs
2026-03-14 01:26:52 | INFO | 🔴 EXIT       | RVNL            | ₹    271.25 | Below 40W EMA
2026-03-14 01:26:54 | INFO | 🔴 EXIT       | OFSS            | ₹   6526.00 | Below 40W EMA
2026-03-14 01:26:57 | INFO | 🟣 FADING     | NMDC            | ₹     78.59 | Below 10W EMA - momentum fading
2026-03-14 01:26:59 | INFO | 🔴 EXIT       | DABUR           | ₹    453.50 | Broke support with EMAs converging
2026-03-14 01:27:01 | INFO | 🟢 HOLD_ADD   | AJANTPHARM      | ₹   3030.60 | Above all weekly EMAs
2026-03-14 01:27:03 | INFO | 🟣 FADING     | INDIANB         | ₹    870.30 | Below 10W EMA - momentum fading
2026-03-14 01:27:06 | INFO | 🟠 CAUTIOUS   | INDUSTOWER      | ₹    423.95 | Below 20W EMA
2026-03-14 01:27:08 | INFO | 🟡 WAIT       | ENDURANCE       | ₹   2403.40 | EMAs converging, no breakout yet
