2026-05-16 02:20:25 | INFO | 🟢 HOLD_ADD   | SIEMENS         | ₹   3587.90 | Above all weekly EMAs
2026-05-16 02:20:27 | INFO | 🟢 HOLD_ADD   | RRKABEL         | ₹   1953.80 | Above all weekly EMAs
2026-05-16 02:20:29 | INFO | 🔴 EXIT       | RVNL            | ₹    283.00 | Below 40W EMA
2026-05-16 02:20:32 | INFO | 🟡 WAIT       | MEDANTA         | ₹   1242.50 | EMAs converging, no breakout yet
2026-05-16 02:20:34 | INFO | 🔴 EXIT       | UPL             | ₹    632.25 | Below 40W EMA
2026-05-16 02:20:36 | INFO | 🟢 HOLD_ADD   | SYRMA           | ₹   1013.25 | Above all weekly EMAs
2026-05-16 02:20:38 | INFO | 🟢 HOLD_ADD   | BANDHANBNK      | ₹    194.46 | Above all weekly EMAs
2026-05-16 02:20:41 | INFO | 🟡 WAIT       | MFSL            | ₹   1604.00 | EMAs converging, no breakout yet
2026-05-16 02:20:43 | INFO | 🟢 HOLD_ADD   | SONACOMS        | ₹    573.55 | Above all weekly EMAs
2026-05-16 02:20:45 | INFO | 🔴 EXIT       | SJVN            | ₹     77.42 | Below 40W EMA
2026-05-16 02:20:47 | INFO | 🔴 EXIT       | RPOWER          | ₹     27.12 | Below 40W EMA
2026-05-16 02:20:50 | INFO | 🟡 WAIT       | BOSCHLTD        | ₹  37740.00 | EMAs converging, no breakout yet
2026-05-16 02:20:52 | INFO | 🔴 EXIT       | LODHA           | ₹    849.95 | Below 40W EMA
2026-05-16 02:20:55 | INFO | 🔴 EXIT       | SRF             | ₹   2689.50 | Below 40W EMA
2026-05-16 02:20:57 | INFO | 🟢 HOLD_ADD   | NAM-INDIA       | ₹   1100.60 | Above all weekly EMAs
2026-05-16 02:20:59 | INFO | 🔴 EXIT       | BSOFT           | ₹    314.40 | Below 40W EMA
2026-05-16 02:21:01 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2083.20 | Below 40W EMA
2026-05-16 02:21:04 | INFO | 🟢 HOLD_ADD   | BELRISE         | ₹    209.46 | Above all weekly EMAs
