2026-06-06 02:35:51 | INFO | 🟡 WAIT       | ENDURANCE       | ₹   2555.30 | EMAs converging, no breakout yet
2026-06-06 02:35:53 | INFO | 🟢 HOLD_ADD   | ENGINERSIN      | ₹    237.78 | Above all weekly EMAs
2026-06-06 02:35:55 | INFO | 🔴 EXIT       | ERIS            | ₹   1365.20 | Below 40W EMA
2026-06-06 02:35:57 | INFO | 🔴 EXIT       | ESCORTS         | ₹   2781.50 | Below 40W EMA
2026-06-06 02:35:59 | INFO | 🔴 EXIT       | ETERNAL         | ₹    256.50 | Below 40W EMA
2026-06-06 02:36:01 | INFO | ✅ BULLISH    | EXIDEIND        | ₹    399.55 | Resistance breakout with EMAs converging
2026-06-06 02:36:03 | INFO | 🟣 FADING     | NYKAA           | ₹    262.30 | Below 10W EMA - momentum fading
2026-06-06 02:36:06 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    304.15 | Above all weekly EMAs
2026-06-06 02:36:08 | INFO | 🟡 WAIT       | FACT            | ₹    866.85 | EMAs converging, no breakout yet
2026-06-06 02:36:10 | INFO | 🟢 HOLD_ADD   | FINCABLES       | ₹   1057.50 | Above all weekly EMAs
2026-06-06 02:36:12 | INFO | 🔴 EXIT       | FSL             | ₹    268.00 | Below 40W EMA
2026-06-06 02:36:14 | INFO | 🔴 EXIT       | FIVESTAR        | ₹    436.70 | Below 40W EMA
2026-06-06 02:36:16 | INFO | 🔴 EXIT       | FORCEMOT        | ₹  18243.00 | Below 40W EMA
2026-06-06 02:36:19 | INFO | 🟢 HOLD_ADD   | FORTIS          | ₹    968.65 | Above all weekly EMAs
2026-06-06 02:36:21 | INFO | 🟡 WAIT       | GAIL            | ₹    167.40 | EMAs converging, no breakout yet
2026-06-06 02:36:23 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   5067.00 | Above all weekly EMAs
2026-06-06 02:36:25 | INFO | 🟡 WAIT       | GMRAIRPORT      | ₹    102.03 | EMAs converging, no breakout yet
2026-06-06 02:36:27 | INFO | 🟠 CAUTIOUS   | GABRIEL         | ₹   1000.60 | Below 20W EMA
2026-06-06 02:36:29 | INFO | 🟠 CAUTIOUS   | GALLANTT        | ₹    648.90 | Below 20W EMA
2026-06-06 02:36:31 | INFO | 🟣 FADING     | GRSE            | ₹   2658.70 | Below 10W EMA - momentum fading
2026-06-06 02:36:33 | INFO | 🟡 WAIT       | GICRE           | ₹    392.95 | EMAs converging, no breakout yet
2026-06-06 02:36:36 | INFO | 🔴 EXIT       | GILLETTE        | ₹   7763.00 | Below 40W EMA
2026-06-06 02:36:38 | INFO | 🟢 HOLD_ADD   | GLAND           | ₹   2273.00 | Above all weekly EMAs
2026-06-06 02:36:40 | INFO | 🔴 EXIT       | GLAXO           | ₹   2164.10 | Below 40W EMA
2026-06-06 02:36:42 | INFO | 🟠 CAUTIOUS   | GLENMARK        | ₹   2166.20 | Below 20W EMA
2026-06-06 02:36:44 | INFO | 🟡 WAIT       | MEDANTA         | ₹   1240.00 | EMAs converging, no breakout yet
2026-06-06 02:36:46 | INFO | 🔴 EXIT       | GODIGIT         | ₹    306.60 | Below 40W EMA
2026-06-06 02:36:48 | INFO | 🟣 FADING     | GPIL            | ₹    280.20 | Below 10W EMA - momentum fading
2026-06-06 02:36:51 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   2220.10 | Below 40W EMA
2026-06-06 02:36:53 | INFO | 🔴 EXIT       | GODREJCP        | ₹    998.00 | Below 40W EMA
2026-06-06 02:36:55 | INFO | 🟡 WAIT       | GODREJIND       | ₹   1042.60 | EMAs converging, no breakout yet
2026-06-06 02:36:57 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1708.30 | Below 40W EMA
2026-06-06 02:36:59 | INFO | 🟢 HOLD_ADD   | GRANULES        | ₹    789.85 | Above all weekly EMAs
2026-06-06 02:37:01 | INFO | 🟣 FADING     | GRAPHITE        | ₹    705.35 | Below 10W EMA - momentum fading
2026-06-06 02:37:04 | INFO | 🟢 HOLD_ADD   | GRASIM          | ₹   3087.70 | Above all weekly EMAs
2026-06-06 02:37:06 | INFO | 🟡 WAIT       | GRAVITA         | ₹   1630.70 | EMAs converging, no breakout yet
2026-06-06 02:37:08 | INFO | 🟣 FADING     | GESHIP          | ₹   1464.00 | Below 10W EMA - momentum fading
2026-06-06 02:37:10 | INFO | 🟡 WAIT       | FLUOROCHEM      | ₹   3558.50 | EMAs converging, no breakout yet
2026-06-06 02:37:12 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    657.75 | Above all weekly EMAs
2026-06-06 02:37:14 | INFO | 🔴 EXIT       | HEG             | ₹    539.45 | Below 40W EMA
2026-06-06 02:37:17 | INFO | 🟡 WAIT       | HBLENGINE       | ₹    794.95 | EMAs converging, no breakout yet
2026-06-06 02:37:19 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1154.70 | Below 40W EMA
2026-06-06 02:37:21 | WARNING | HDBFS: Insufficient data for analysis
2026-06-06 02:37:23 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2495.90 | EMAs converging, no breakout yet
2026-06-06 02:37:25 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    747.05 | Below 40W EMA
2026-06-06 02:37:27 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    575.30 | Below 40W EMA
2026-06-06 02:37:30 | INFO | 🟢 HOLD_ADD   | HFCL            | ₹    187.23 | Above all weekly EMAs
2026-06-06 02:37:32 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1150.50 | Below 40W EMA
2026-06-06 02:37:34 | INFO | 🔴 EXIT       | HEROMOTOCO      | ₹   4835.00 | Broke support with EMAs converging
2026-06-06 02:37:36 | INFO | 🔴 EXIT       | HEXT            | ₹    526.00 | Below 40W EMA
2026-06-06 02:37:38 | INFO | 🟢 HOLD_ADD   | HSCL            | ₹    685.05 | Above all weekly EMAs
2026-06-06 02:37:40 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹   1092.60 | Above all weekly EMAs
2026-06-06 02:37:42 | INFO | 🟡 WAIT       | HAL             | ₹   4216.90 | EMAs converging, no breakout yet
2026-06-06 02:37:45 | INFO | 🟣 FADING     | HINDCOPPER      | ₹    526.35 | Below 10W EMA - momentum fading
2026-06-06 02:37:47 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    385.05 | Below 40W EMA
2026-06-06 02:37:49 | INFO | 🔴 EXIT       | HINDUNILVR      | ₹   2121.50 | Below 40W EMA
2026-06-06 02:37:51 | INFO | 🟠 CAUTIOUS   | HINDZINC        | ₹    566.80 | Below 20W EMA
2026-06-06 02:37:53 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  36870.00 | Above all weekly EMAs
2026-06-06 02:37:55 | INFO | 🟡 WAIT       | HOMEFIRST       | ₹   1078.90 | EMAs converging, no breakout yet
2026-06-06 02:37:58 | INFO | 🟢 HOLD_ADD   | HONASA          | ₹    416.10 | Above all weekly EMAs
2026-06-06 02:38:00 | INFO | 🟢 HOLD_ADD   | HONAUT          | ₹  34700.00 | Above all weekly EMAs
2026-06-06 02:38:02 | INFO | 🟡 WAIT       | HUDCO           | ₹    205.93 | EMAs converging, no breakout yet
2026-06-06 02:38:04 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1913.60 | Below 40W EMA
2026-06-06 02:38:06 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1262.10 | Below 40W EMA
2026-06-06 02:38:08 | INFO | 🟡 WAIT       | ICICIGI         | ₹   1758.00 | EMAs converging, no breakout yet
2026-06-06 02:38:10 | WARNING | ICICIAMC: Insufficient data for analysis
2026-06-06 02:38:12 | INFO | 🔴 EXIT       | ICICIPRULI      | ₹    483.25 | Below 40W EMA
2026-06-06 02:38:15 | INFO | 🔴 EXIT       | IDBI            | ₹     73.08 | Below 40W EMA
2026-06-06 02:38:17 | INFO | 🟢 HOLD_ADD   | IDFCFIRSTB      | ₹     72.35 | Above all weekly EMAs
2026-06-06 02:38:19 | INFO | 🟢 HOLD_ADD   | IFCI            | ₹     79.60 | Above all weekly EMAs
2026-06-06 02:38:21 | INFO | 🟡 WAIT       | IIFL            | ₹    516.90 | EMAs converging, no breakout yet
