2026-02-21 16:59:59 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2373.80 | Broke support with EMAs converging
2026-02-21 17:00:01 | INFO | 🔴 EXIT       | NIACL           | ₹    149.85 | Below 40W EMA
2026-02-21 17:00:03 | INFO | 🟡 WAIT       | 360ONE          | ₹   1100.60 | EMAs converging, no breakout yet
2026-02-21 17:00:05 | INFO | 🔴 EXIT       | ACC             | ₹   1612.60 | Below 40W EMA
2026-02-21 17:00:07 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    475.55 | Above all weekly EMAs
2026-02-21 17:00:10 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1825.70 | Below 40W EMA
2026-02-21 17:00:12 | INFO | 🔴 EXIT       | HONAUT          | ₹  30895.00 | Below 40W EMA
2026-02-21 17:00:14 | INFO | 🔴 EXIT       | GUJGASLTD       | ₹    405.15 | Below 40W EMA
2026-02-21 17:00:16 | INFO | 🟠 CAUTIOUS   | HINDPETRO       | ₹    430.90 | Below 20W EMA
2026-02-21 17:00:18 | INFO | 🔴 EXIT       | IRB             | ₹     40.68 | Below 40W EMA
2026-02-21 17:00:20 | INFO | 🟡 WAIT       | IPCALAB         | ₹   1449.80 | EMAs converging, no breakout yet
2026-02-21 17:00:22 | INFO | 🟢 HOLD_ADD   | AJANTPHARM      | ₹   2939.40 | Above all weekly EMAs
2026-02-21 17:00:25 | INFO | 🔴 EXIT       | KALYANKJIL      | ₹    401.20 | Below 40W EMA
2026-02-21 17:00:27 | INFO | 🟣 FADING     | PHOENIXLTD      | ₹   1733.20 | Below 10W EMA - momentum fading
2026-02-21 17:00:29 | INFO | 🔴 EXIT       | AWL             | ₹    198.52 | Below 40W EMA
2026-02-21 17:00:31 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2715.70 | EMAs converging, no breakout yet
2026-02-21 17:00:33 | INFO | 🔴 EXIT       | MANKIND         | ₹   2024.30 | Below 40W EMA
2026-02-21 17:00:35 | INFO | 🟡 WAIT       | JKCEMENT        | ₹   5748.00 | EMAs converging, no breakout yet
2026-02-21 17:00:37 | INFO | 🟡 WAIT       | ESCORTS         | ₹   3417.80 | EMAs converging, no breakout yet
2026-02-21 17:00:39 | INFO | 🔴 EXIT       | MEDANTA         | ₹   1130.00 | Below 40W EMA
2026-02-21 17:00:42 | INFO | 🟢 HOLD_ADD   | NYKAA           | ₹    265.58 | Above all weekly EMAs
2026-02-21 17:00:44 | INFO | 🟢 HOLD_ADD   | APLAPOLLO       | ₹   2187.50 | Above all weekly EMAs
2026-02-21 17:00:46 | INFO | 🔴 EXIT       | SWIGGY          | ₹    323.80 | Below 40W EMA
